"id","name","image_tag","created_at","updated_at"
"72","Mining & Exploration","unavailable.png","2019-09-09 20:23:59","2019-09-09 20:23:59"
"73","Accountants","unavailable.png","2019-09-09 20:23:59","2019-09-09 20:23:59"
"74","Non Profits","unavailable.png","2019-09-09 20:23:59","2019-09-09 20:23:59"
"75","Food","unavailable.png","2019-09-09 20:24:00","2019-09-09 20:24:00"
"76","Government Offices","unavailable.png","2019-09-09 20:24:01","2019-09-09 20:24:01"
"77","Electrical Engineering","unavailable.png","2019-09-09 20:24:01","2019-09-09 20:24:01"
"78","Filling Stations","unavailable.png","2019-09-09 20:24:01","2019-09-09 20:24:01"
"79","Electrical Equipments","unavailable.png","2019-09-09 20:24:02","2019-09-09 20:24:02"
"80","Household Services","unavailable.png","2019-09-09 20:24:02","2019-09-09 20:24:02"
"81","Fashion","unavailable.png","2019-09-09 20:24:03","2019-09-09 20:24:03"
"82","Agricultural Equipment","unavailable.png","2019-09-09 20:24:03","2019-09-09 20:24:03"
"83","Printers & Publishers","unavailable.png","2019-09-09 20:24:04","2019-09-09 20:24:04"
"84","Energy","unavailable.png","2019-09-09 20:24:05","2019-09-09 20:24:05"
"85","Sports","unavailable.png","2019-09-09 20:24:08","2019-09-09 20:24:08"
"86","Electronics","unavailable.png","2019-09-09 20:24:10","2019-09-09 20:24:10"
"87","Courts","unavailable.png","2019-09-09 20:24:11","2019-09-09 20:24:11"
"88","Clinics","unavailable.png","2019-09-09 20:24:11","2019-09-09 20:24:11"
"89","Churches","unavailable.png","2019-09-09 20:24:11","2019-09-09 20:24:11"
"90","Accommodation","unavailable.png","2019-09-09 20:24:12","2019-09-09 20:24:12"
"91","Blood Banks","unavailable.png","2019-09-09 20:24:13","2019-09-09 20:24:13"
"92","Stores","unavailable.png","2019-09-09 20:24:14","2019-09-09 20:24:14"
"93","Drugs","unavailable.png","2019-09-09 20:24:15","2019-09-09 20:24:15"
"94","Dental Clinic","unavailable.png","2019-09-09 20:24:16","2019-09-09 20:24:16"
"95","Chemical Dealers","unavailable.png","2019-09-09 20:24:16","2019-09-09 20:24:16"
"96","Secondary Schools","unavailable.png","2019-09-09 20:24:18","2019-09-09 20:24:18"
"97","Mosques","unavailable.png","2019-09-09 20:24:19","2019-09-09 20:24:19"
"98","Land Dealers","unavailable.png","2019-09-09 20:24:21","2019-09-09 20:24:21"
"99","Post Offices","unavailable.png","2019-09-09 20:24:22","2019-09-09 20:24:22"
"100","Transport & Logistics","unavailable.png","2019-09-09 20:24:24","2019-09-09 20:24:24"
"101","Graphic Designers","unavailable.png","2019-09-09 20:24:26","2019-09-09 20:24:26"
"102","Home & Office","unavailable.png","2019-09-09 20:24:29","2019-09-09 20:24:29"
"103","Political Parties","unavailable.png","2019-09-09 20:24:30","2019-09-09 20:24:30"
"104","Environment","unavailable.png","2019-09-09 20:24:31","2019-09-09 20:24:31"
"105","Block & Concrete Industries","unavailable.png","2019-09-09 20:24:36","2019-09-09 20:24:36"
"106","Lubricants","unavailable.png","2019-09-09 20:24:36","2019-09-09 20:24:36"
"107","Business Development Services","unavailable.png","2019-09-09 20:24:38","2019-09-09 20:24:38"
"108","agricultural chemicals","unavailable.png","2019-09-09 20:24:44","2019-09-09 20:24:44"
"109","Agricultural Cooperative Banks","unavailable.png","2019-09-09 20:24:45","2019-09-09 20:24:45"
"110","doctors pediatrics","unavailable.png","2019-09-09 20:24:49","2019-09-09 20:24:49"
"111","Information and Communication Technology","unavailable.png","2019-09-09 20:24:51","2019-09-09 20:24:51"
"112","Army","unavailable.png","2019-09-09 20:24:52","2019-09-09 20:24:52"
"113","Banquet Halls","unavailable.png","2019-09-09 20:24:52","2019-09-09 20:24:52"
"114","Bakery","unavailable.png","2019-09-09 20:24:53","2019-09-09 20:24:53"
"115","Barbing Salon","unavailable.png","2019-09-09 20:24:53","2019-09-09 20:24:53"
"116","Office Services","unavailable.png","2019-09-09 20:24:53","2019-09-09 20:24:53"
"117","Dance Group Training","unavailable.png","2019-09-09 20:24:54","2019-09-09 20:24:54"
"118","Event Decorators","unavailable.png","2019-09-09 20:24:55","2019-09-09 20:24:55"
"119","Brain Training Center","unavailable.png","2019-09-09 20:24:56","2019-09-09 20:24:56"
"120","Chemists & Pharmacy","unavailable.png","2019-09-09 20:24:56","2019-09-09 20:24:56"
"121","Taxi Services","unavailable.png","2019-09-09 20:24:57","2019-09-09 20:24:57"
"122","Barbing Equipments","unavailable.png","2019-09-09 20:24:57","2019-09-09 20:24:57"
"123","Photography","unavailable.png","2019-09-09 20:24:59","2019-09-09 20:24:59"
"124","fuel","unavailable.png","2019-09-09 20:25:02","2019-09-09 20:25:02"
"125","Computer Training Centers","unavailable.png","2019-09-09 20:25:02","2019-09-09 20:25:02"
"126","Auto Dealers (Two & Three Wheelers)","unavailable.png","2019-09-09 20:25:03","2019-09-09 20:25:03"
"127","Electronics Appliances","unavailable.png","2019-09-09 20:25:05","2019-09-09 20:25:05"
"128","Gift Items","unavailable.png","2019-09-09 20:25:05","2019-09-09 20:25:05"
"129","Household Equipments","unavailable.png","2019-09-09 20:25:06","2019-09-09 20:25:06"
"130","Chamber Of Commerce And Industry","unavailable.png","2019-09-09 20:25:07","2019-09-09 20:25:07"
"131","Auto Mechanics","unavailable.png","2019-09-09 20:25:08","2019-09-09 20:25:08"
"132","Branding","unavailable.png","2019-09-09 20:25:08","2019-09-09 20:25:08"
"133","Auto Spare Parts","unavailable.png","2019-09-09 20:25:09","2019-09-09 20:25:09"
"134","Mining","unavailable.png","2019-09-09 20:25:11","2019-09-09 20:25:11"
"135","Banking And Finance","unavailable.png","2019-09-09 20:25:12","2019-09-09 20:25:12"
"136","Household Electronic Appliances","unavailable.png","2019-09-09 20:25:13","2019-09-09 20:25:13"
"137","Photo Laboratory","unavailable.png","2019-09-09 20:25:15","2019-09-09 20:25:15"
"138","cement","unavailable.png","2019-09-09 20:25:17","2019-09-09 20:25:17"
"139","Colleges Of Education","unavailable.png","2019-09-09 20:25:17","2019-09-09 20:25:17"
"140","Foodstuff","unavailable.png","2019-09-09 20:25:18","2019-09-09 20:25:18"
