"id";"name";"state_id";"created_at";"updated_at"
"75";"Awka South";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"76";"Ayamelum";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"77";"Dunukofia";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"78";"Ekwusigo";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"79";"Idemili North";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"80";"Idemili South";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"81";"Ihiala";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"82";"Njikoka";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"83";"Nnewi North";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"84";"Nnewi South";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"85";"Ogbaru";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"86";"Onitsha North";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"87";"Onitsha South";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"88";"Orumba North";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"89";"Orumba South";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"90";"Oyi";"5";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"91";"Alkaleri";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"92";"Bauchi LGA";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"93";"Bogoro";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"94";"Damban";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"95";"Darazo";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"96";"Dass";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"97";"Gamawa";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"98";"Ganjuwa";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"99";"Giade";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"100";"Itas/Gadau";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"102";"Katagum";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"103";"Kirfi";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"104";"Misau";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"105";"Shira";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
"106";"Toro";"6";"2019-09-09 20:16:19";"2019-09-09 20:16:19"
